,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,from_club_path,final_club_path,final_team,from_pais,to_pais,final_country,path_country
368,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2008-07-01,Puntarenas FC,LD Alajuelense,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1753,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2009-07-01,LD Alajuelense,Chicago Fire,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,USA,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
2051,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2009-11-01,Chicago Fire,Philadelphia,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,USA,USA,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1673,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2010-03-01,Philadelphia,Limón FC,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,USA,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
2053,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2011-08-01,Limón FC,Fredrikstad,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Noruega,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1672,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2012-01-01,Fredrikstad,Limón FC,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Noruega,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
486,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2012-07-01,Limón FC,CS Uruguay,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1389,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2013-07-01,CS Uruguay,Herediano,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1760,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2016-09-06,Herediano,AD San Carlos,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1705,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2017-01-01,AD San Carlos,Saprissa,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1298,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2017-09-18,Saprissa,Pérez Zeledón,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
727,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2018-07-01,Pérez Zeledón,Unknown,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Unknown,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
1642,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2019-07-01,Unknown,Limón FC,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Unknown,Costa Rica,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
679,Dave Myrie,https://www.transfermarkt.com/dave-myrie/profil/spieler/111898,2020-01-01,Limón FC,Unknown,"Jun 1, 1988 ",32.0,Costa RicaNo current national team players,24,€200Th.,Right-Back,"Cádiz CF,Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC","Puntarenas FC,LD Alajuelense,Chicago Fire,Philadelphia,Limón FC,Fredrikstad,Limón FC,CS Uruguay,Herediano,AD San Carlos,Saprissa,Pérez Zeledón,Unknown,Limón FC,Unknown",Unknown,Costa Rica,Unknown,Unknown,"España,Costa Rica,Costa Rica,USA,USA,Costa Rica,Noruega,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica"
392,David Calvo,https://www.transfermarkt.com/david-calvo/profil/spieler/278348,2015-07-01,Alajuelense U20,AD Carmelita,"Oct 3, 1988 ",31.0,No national team players,-,€75Th.,Defensive Midfield,"Alajuelense U20,AD Carmelita","AD Carmelita,Unknown",Unknown,Costa Rica,Costa Rica,Unknown,"Costa Rica,Costa Rica"
603,David Calvo,https://www.transfermarkt.com/david-calvo/profil/spieler/278348,2016-07-01,AD Carmelita,Unknown,"Oct 3, 1988 ",31.0,No national team players,-,€75Th.,Defensive Midfield,"Alajuelense U20,AD Carmelita","AD Carmelita,Unknown",Unknown,Costa Rica,Unknown,Unknown,"Costa Rica,Costa Rica"
4050,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,1999-07-01,LD Alajuelense,AO Trikala,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,Grecia,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
4304,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2000-01-01,AO Trikala,Paniliakos,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Grecia,Grecia,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
4323,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2000-04-01,Paniliakos,Ceará SC,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Grecia,Brasil,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3318,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2002-04-01,Ceará SC,Without Club,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Brasil,Without Club,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3134,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2002-07-01,Without Club,Guanacasteca,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Without Club,Costa Rica,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3386,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2003-07-01,Guanacasteca,Herediano,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,Costa Rica,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
4214,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2004-01-01,Herediano,NJ Yoyo,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,China,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3669,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2004-07-01,NJ Yoyo,Brujas FC,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,China,Costa Rica,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3376,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2005-01-01,Brujas FC,Herediano,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,Costa Rica,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3212,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2005-07-01,Herediano,Cartaginés,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,Costa Rica,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
3951,David Diah,https://www.transfermarkt.com/david-diah/profil/spieler/223121,2006-07-01,Cartaginés,L.A. Firpo,"Jun 7, 1974 ",46.0,Costa RicaNo current national team players,6,-,Forward,"LD Alajuelense,AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia","AO Trikala,Paniliakos,Ceará SC,Without Club,Guanacasteca,Herediano,NJ Yoyo,Brujas FC,Herediano,Cartaginés,L.A. Firpo,Herediano,AD Carmelita,Limón FC,Unknown,Barrio México,Paraíso Total,Juv. Escazuceña,Barrio México,Halcones,Barrio México,Juv. Escazuceña,Barrio México,Juv. Escazuceña,Sagrada Familia,Retired",Retired,Costa Rica,El Salvador,Retired,"Costa Rica,Grecia,Grecia,Brasil,Without Club,Costa Rica,Costa Rica,China,Costa Rica,Costa Rica,Costa Rica,El Salvador,Costa Rica,Costa Rica,Costa Rica,Unknown,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Guatemala,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica"
