,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
1478,Rosmy Vega,https://www.transfermarkt.com/rosmy-vega/profil/spieler/226895,"Jan 1, 2012",Puntarenas FC,Unknown,"Apr 27, 1992 ",28.0,No national team players,-,-,Defender,Costa Rica,Unknown
1479,José Villalobos,https://www.transfermarkt.com/jose-villalobos/profil/spieler/307319,"Jul 1, 2014",Puntarenas FC,Unknown,"Dec 28, 1990 ",29.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1480,Jaime Valderramos,https://www.transfermarkt.com/jaime-valderramos/profil/spieler/194935,"Jan 1, 2014",Puntarenas FC,Unknown,"Mar 16, 1990 ",30.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1481,Guillermo Arias,https://www.transfermarkt.com/guillermo-arias/profil/spieler/216456,"Jul 1, 2015",Puntarenas FC,Unknown,"Sep 20, 1990 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1482,Anthony Caruzo,https://www.transfermarkt.com/anthony-caruzo/profil/spieler/268187,"Jul 1, 2011",Puntarenas FC,Unknown,"May 2, 1990 ",30.0,No national team players,-,-,Central Midfield,Costa Rica,Unknown
1483,Anthony Caruzo,https://www.transfermarkt.com/anthony-caruzo/profil/spieler/268187,"Jul 1, 2019",Puntarenas FC,Unknown,"May 2, 1990 ",30.0,No national team players,-,-,Central Midfield,Costa Rica,Unknown
1484,Keishmer Powell,https://www.transfermarkt.com/keishmer-powell/profil/spieler/199098,"Oct 17, 2017",Puntarenas FC,Unknown,"Feb 9, 1990 ",30.0,Costa RicaNo current national team players,1,-,Centre-Forward,Costa Rica,Unknown
1485,Diego Angulo,https://www.transfermarkt.com/diego-angulo/profil/spieler/308418,"Jul 1, 2011",Puntarenas FC,Unknown,"Jan 16, 1992 ",28.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1486,Jhonatan Viales,https://www.transfermarkt.com/jhonatan-viales/profil/spieler/235726,"Oct 17, 2017",Puntarenas FC,Unknown,"Oct 10, 1990 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1487,Diego Brenes,https://www.transfermarkt.com/diego-brenes/profil/spieler/194510,"Jul 1, 2019",Puntarenas FC,Unknown,"Aug 24, 1990 ",30.0,No national team players,-,-,Attacking Midfield,Costa Rica,Unknown
1488,Diego Brenes,https://www.transfermarkt.com/diego-brenes/profil/spieler/194510,"Jul 1, 2020",Puntarenas FC,Unknown,"Aug 24, 1990 ",30.0,No national team players,-,-,Attacking Midfield,Costa Rica,Unknown
1489,Eliécer Delgado,https://www.transfermarkt.com/eliecer-delgado/profil/spieler/312783,"Jan 1, 2011",Puntarenas FC,Unknown,"Feb 23, 1991 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1490,Joshua Villalobos,https://www.transfermarkt.com/joshua-villalobos/profil/spieler/194521,"Jul 1, 2016",Puntarenas FC,Unknown,"Aug 18, 1990 ",30.0,No national team players,-,-,Right Midfield,Costa Rica,Unknown
1491,Johay White,https://www.transfermarkt.com/johay-white/profil/spieler/194522,"Jan 1, 2012",Puntarenas FC,Unknown,"May 14, 1992 ",28.0,No national team players,-,-,Left Winger,Costa Rica,Unknown
1492,Maykol Ortiz,https://www.transfermarkt.com/maykol-ortiz/profil/spieler/181761,"Jul 1, 2019",Puntarenas FC,Unknown,"Sep 23, 1985 ",34.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1493,Derrick Johnson,https://www.transfermarkt.com/derrick-johnson/profil/spieler/128523,"Oct 17, 2017",Puntarenas FC,Unknown,"Jul 28, 1989 ",31.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1494,Ricardo García,https://www.transfermarkt.com/ricardo-garcia/profil/spieler/141325,"Jul 1, 2015",Puntarenas FC,Unknown,"Feb 18, 1988 ",32.0,No national team players,-,-,Right Midfield,Costa Rica,Unknown
1495,Johan Hernández,https://www.transfermarkt.com/johan-hernandez/profil/spieler/278811,"Jan 1, 2014",Puntarenas FC,Unknown,"Jul 9, 1988 ",32.0,No national team players,-,-,Forward,Costa Rica,Unknown
1496,Johnny Chacón,https://www.transfermarkt.com/johnny-chacon/profil/spieler/229928,"Jul 1, 2015",Puntarenas FC,Unknown,"Oct 5, 1986 ",33.0,No national team players,-,-,Centre-Forward,Costa Rica,Unknown
1497,Johnny Chacón,https://www.transfermarkt.com/johnny-chacon/profil/spieler/229928,"Jul 1, 2016",Puntarenas FC,Unknown,"Oct 5, 1986 ",33.0,No national team players,-,-,Centre-Forward,Costa Rica,Unknown
1498,Diego Gallo,https://www.transfermarkt.com/diego-gallo/profil/spieler/261193,"Jul 1, 2011",Puntarenas FC,Unknown,"Feb 16, 1986 ",34.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1499,Jonathan Alvarado,https://www.transfermarkt.com/jonathan-alvarado/profil/spieler/281756,"Jan 1, 2016",Puntarenas FC,Unknown,"Sep 8, 1988 ",31.0,No national team players,-,-,Defender,Costa Rica,Unknown
1500,Claudio Vargas,https://www.transfermarkt.com/claudio-vargas/profil/spieler/235677,"Jul 1, 2019",Puntarenas FC,Unknown,"Dec 21, 1985 ",34.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1501,César López,https://www.transfermarkt.com/cesar-lopez/profil/spieler/281775,"Jan 1, 2019",Puntarenas FC,Unknown,"Aug 11, 1989 ",31.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1502,Carlos González,https://www.transfermarkt.com/carlos-gonzalez/profil/spieler/308422,"Jan 1, 2011",Puntarenas FC,Unknown,"Aug 6, 1989 ",31.0,No national team players,-,-,Forward,Costa Rica,Unknown
1503,Carlos González,https://www.transfermarkt.com/carlos-gonzalez/profil/spieler/308422,"Jul 1, 2017",Puntarenas FC,Unknown,"Aug 6, 1989 ",31.0,No national team players,-,-,Forward,Costa Rica,Unknown
1504,Óscar Seravalli,https://www.transfermarkt.com/oscar-seravalli/profil/spieler/128819,"Jan 1, 2008",Puntarenas FC,Unknown,"Dec 15, 1980 ",39.0,Costa RicaNo current national team players,1,-,Defender,Costa Rica,Unknown
1505,Franklin Chacón,https://www.transfermarkt.com/franklin-chacon/profil/spieler/230486,"Jul 1, 2014",Puntarenas FC,Unknown,"Jun 18, 1985 ",35.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1506,Harry Ocampo,https://www.transfermarkt.com/harry-ocampo/profil/spieler/121693,"Jul 1, 2014",Puntarenas FC,Unknown,"Oct 2, 1982 ",37.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1507,Brayan Zamora,https://www.transfermarkt.com/brayan-zamora/profil/spieler/229773,"Jul 1, 2017",Puntarenas FC,Unknown,"Jan 2, 1982 ",38.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1508,Sherman Vásquez,https://www.transfermarkt.com/sherman-vasquez/profil/spieler/194501,"Jul 1, 2012",Puntarenas FC,Unknown,"Jan 29, 1978 ",42.0,No national team players,-,-,Defender,Costa Rica,Unknown
1509,José Mendoza,https://www.transfermarkt.com/jose-mendoza/profil/spieler/297977,"Jan 1, 2011",Puntarenas FC,Unknown,"Jul 20, 1979 ",41.0,No national team players,-,-,Forward,Costa Rica,Unknown
1510,Bryan Porras,https://www.transfermarkt.com/bryan-porras/profil/spieler/278395,"Jan 1, 2019",Puntarenas FC,Unknown,"Dec 8, 1995 ",24.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1511,Fabricio Murillo,https://www.transfermarkt.com/fabricio-murillo/profil/spieler/245972,"Jan 1, 2013",Puntarenas FC,Unknown,"Oct 17, 1994 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1512,Kenneth Carrillo,https://www.transfermarkt.com/kenneth-carrillo/profil/spieler/281584,"Jul 1, 2015",Puntarenas FC,Unknown,"Jan 10, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1513,Shakir Lobo,https://www.transfermarkt.com/shakir-lobo/profil/spieler/599228,"Jul 1, 2019",Puntarenas FC,Unknown,"Oct 31, 1997 ",22.0,No national team players,-,-,Right-Back,Costa Rica,Unknown
1514,Reibyn Juárez,https://www.transfermarkt.com/reibyn-juarez/profil/spieler/260894,"Jul 1, 2010",Puntarenas FC,Unknown,,,No national team players,-,-,Midfielder,Costa Rica,Unknown
1515,Diego González,https://www.transfermarkt.com/diego-gonzalez/profil/spieler/352419,"Jan 1, 2010",Puntarenas FC,Unknown,,,No national team players,-,-,Midfielder,Costa Rica,Unknown
1516,Owen Solís,https://www.transfermarkt.com/owen-solis/profil/spieler/266726,"Jan 1, 2016",Real Pococí,Unknown,"May 12, 1987 ",33.0,No national team players,-,€250Th.,Centre-Back,Costa Rica,Unknown
1517,Joao Mora,https://www.transfermarkt.com/joao-mora/profil/spieler/234686,"Jan 1, 2015",Turrialba,Unknown,"May 8, 1991 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1518,William Sunsin,https://www.transfermarkt.com/william-sunsin/profil/spieler/38014,"Jul 1, 2015",Turrialba,Unknown,"May 12, 1977 ",43.0,Costa RicaNo current national team players,35,-,Centre-Forward,Costa Rica,Unknown
1519,José Zamora,https://www.transfermarkt.com/jose-zamora/profil/spieler/500963,"Jan 1, 2020",Turrialba,Unknown,"Jul 28, 1997 ",23.0,No national team players,-,-,Centre-Forward,Costa Rica,Unknown
1520,Felipe Núñez,https://www.transfermarkt.com/felipe-nunez/profil/spieler/461080,"Jan 1, 2017",PZ U20,Unknown,"Dec 24, 1994 ",25.0,No national team players,-,-,Attacking Midfield,Costa Rica,Unknown
1521,Andrés Cruz,https://www.transfermarkt.com/andres-cruz/profil/spieler/448332,"Jan 1, 2017",PZ U20,Unknown,"Oct 10, 1995 ",24.0,No national team players,-,-,Forward,Costa Rica,Unknown
1522,Tulio Ureña,https://www.transfermarkt.com/tulio-urena/profil/spieler/585846,"Jan 1, 2018",PZ U20,Unknown,"Nov 14, 1996 ",23.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1523,Yustin Agüero,https://www.transfermarkt.com/yustin-aguero/profil/spieler/249510,"Jul 1, 2015",Carmelita U20,Unknown,"Feb 15, 1994 ",26.0,No national team players,-,€50Th.,Midfielder,Costa Rica,Unknown
1524,Andrey Carranza,https://www.transfermarkt.com/andrey-carranza/profil/spieler/256195,"Jul 1, 2015",Carmelita U20,Unknown,"Mar 9, 1993 ",27.0,No national team players,-,€50Th.,Forward,Costa Rica,Unknown
1525,Jesús Ramírez,https://www.transfermarkt.com/jesus-ramirez/profil/spieler/229934,"Jul 1, 2015",Carmelita U20,Unknown,"Jun 11, 1992 ",28.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1526,Joao Johanning,https://www.transfermarkt.com/joao-johanning/profil/spieler/288615,"Jan 1, 2020",Chattanooga FC,Unknown,"May 15, 1990 ",30.0,No national team players,-,-,Attacking Midfield,USA,Unknown
1527,Marcos Ramírez,https://www.transfermarkt.com/marcos-ramirez/profil/spieler/281601,"Jan 1, 2014",Guanacasteca,Unknown,"Jan 13, 1994 ",26.0,No national team players,-,-,Forward,Costa Rica,Unknown
1528,Giovannie Cantillano,https://www.transfermarkt.com/giovannie-cantillano/profil/spieler/229927,"Jul 1, 2017",Guanacasteca,Unknown,"Jun 3, 1993 ",27.0,No national team players,-,-,Defensive Midfield,Costa Rica,Unknown
1529,Iván Acuña,https://www.transfermarkt.com/ivan-acuna/profil/spieler/279897,"Jul 1, 2017",Guanacasteca,Unknown,"Sep 2, 1992 ",27.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1530,Luis Chin,https://www.transfermarkt.com/luis-chin/profil/spieler/281586,"Jul 1, 2014",Guanacasteca,Unknown,"Nov 8, 1990 ",29.0,No national team players,-,-,Right Midfield,Costa Rica,Unknown
1531,Emilio Grijalba,https://www.transfermarkt.com/emilio-grijalba/profil/spieler/281590,"Jan 1, 2018",Guanacasteca,Unknown,"Apr 19, 1992 ",28.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1532,Rayner Leal,https://www.transfermarkt.com/rayner-leal/profil/spieler/281595,"Jan 1, 2014",Guanacasteca,Unknown,"Dec 14, 1990 ",29.0,No national team players,-,-,Forward,Costa Rica,Unknown
1533,Alex Martínez,https://www.transfermarkt.com/alex-martinez/profil/spieler/383777,"Jul 1, 2011",Guanacasteca,Unknown,"Mar 19, 1989 ",31.0,No national team players,-,-,Attacking Midfield,Costa Rica,Unknown
1534,Edgar Villalobos,https://www.transfermarkt.com/edgar-villalobos/profil/spieler/382776,"Jul 1, 2011",Guanacasteca,Unknown,"Jul 11, 1987 ",33.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1535,Edgar Villalobos,https://www.transfermarkt.com/edgar-villalobos/profil/spieler/382776,"Jan 1, 2017",Guanacasteca,Unknown,"Jul 11, 1987 ",33.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1536,Álex Matarrita,https://www.transfermarkt.com/alex-matarrita/profil/spieler/279977,"Jul 1, 2017",Guanacasteca,Unknown,"Nov 28, 1985 ",34.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1537,Marco Paniagua,https://www.transfermarkt.com/marco-paniagua/profil/spieler/279991,"Jul 1, 2017",Guanacasteca,Unknown,"May 31, 1988 ",32.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1538,Rubén Mayorga,https://www.transfermarkt.com/ruben-mayorga/profil/spieler/281597,"Jan 1, 2014",Guanacasteca,Unknown,"Jan 28, 1989 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1539,José Alemán,https://www.transfermarkt.com/jose-aleman/profil/spieler/279899,"Jul 1, 2017",Guanacasteca,Unknown,"Dec 15, 1983 ",36.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1540,Randy Araya,https://www.transfermarkt.com/randy-araya/profil/spieler/279905,"Jan 1, 2014",Guanacasteca,Unknown,"May 4, 1981 ",39.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1541,Gustavo Pérez,https://www.transfermarkt.com/gustavo-perez/profil/spieler/217231,"Jan 1, 2004",Guanacasteca,Unknown,"Sep 18, 1984 ",35.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1542,Randall Chavarría,https://www.transfermarkt.com/randall-chavarria/profil/spieler/279918,"Jan 1, 2014",Guanacasteca,Unknown,"Jun 16, 1979 ",41.0,No national team players,-,-,Defender,Costa Rica,Unknown
1543,Kenneth Baltodano,https://www.transfermarkt.com/kenneth-baltodano/profil/spieler/726503,"Jul 1, 2002",Guanacasteca,Unknown,"Aug 2, 1976 ",44.0,Costa RicaNo current national team players,1,-,Midfielder,Costa Rica,Unknown
1544,Carlos Angulo,https://www.transfermarkt.com/carlos-angulo/profil/spieler/779764,"Jul 1, 1987",Guanacasteca,Unknown,"Jul 22, 1963 ",57.0,Costa RicaNo current national team players,3,-,Defender,Costa Rica,Unknown
1545,José Martínez,https://www.transfermarkt.com/jose-martinez/profil/spieler/565256,"Jan 1, 2017",Guanacasteca,Unknown,"Apr 25, 1996 ",24.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1546,Kenneth Carrillo,https://www.transfermarkt.com/kenneth-carrillo/profil/spieler/281584,"Jul 1, 2013",Guanacasteca,Unknown,"Jan 10, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1547,Víctor Chávez,https://www.transfermarkt.com/victor-chavez/profil/spieler/281585,"Jul 1, 2014",Guanacasteca,Unknown,,,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1548,Jonathan Enriquez,https://www.transfermarkt.com/jonathan-enriquez/profil/spieler/281587,"Jul 1, 2014",Guanacasteca,Unknown,,,No national team players,-,-,Midfielder,Costa Rica,Unknown
1549,Cristian Hernández,https://www.transfermarkt.com/cristian-hernandez/profil/spieler/281592,"Jul 1, 2014",Guanacasteca,Unknown,,,No national team players,-,-,Defender,Costa Rica,Unknown
1550,Kenneth Dixon,https://www.transfermarkt.com/kenneth-dixon/profil/spieler/214815,"Jan 1, 2020",Golfito,Unknown,"Nov 1, 1993 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Unknown
1551,Derek Salas,https://www.transfermarkt.com/derek-salas/profil/spieler/471018,"Jul 1, 2019",Golfito,Unknown,"Dec 12, 1998 ",21.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1552,Yashin Bosques,https://www.transfermarkt.com/yashin-bosques/profil/spieler/216459,"Jan 1, 2016",Juv. Escazuceña,Unknown,"Oct 24, 1993 ",26.0,No national team players,-,-,Right Midfield,Costa Rica,Unknown
1553,Mauricio Ayales,https://www.transfermarkt.com/mauricio-ayales/profil/spieler/281759,"Jul 1, 2017",Juv. Escazuceña,Unknown,"May 28, 1993 ",27.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1554,Félix Torres,https://www.transfermarkt.com/felix-torres/profil/spieler/414744,"Sep 2, 2016",Juv. Escazuceña,Unknown,"Mar 28, 1991 ",29.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1555,Pablo Madrigal,https://www.transfermarkt.com/pablo-madrigal/profil/spieler/375065,"Jan 1, 2014",Juv. Escazuceña,Unknown,"Jan 30, 1991 ",29.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1556,Fabio Villarreal,https://www.transfermarkt.com/fabio-villarreal/profil/spieler/121696,"Jul 1, 2014",Juv. Escazuceña,Unknown,"Dec 13, 1989 ",30.0,No national team players,-,-,Forward,Costa Rica,Unknown
1557,Ricardo Ávila,https://www.transfermarkt.com/ricardo-avila/profil/spieler/281758,"Jul 1, 2014",Juv. Escazuceña,Unknown,"Jan 24, 1991 ",29.0,No national team players,-,-,Forward,Costa Rica,Unknown
1558,Fabián Montiel,https://www.transfermarkt.com/fabian-montiel/profil/spieler/281778,"Jul 1, 2015",Juv. Escazuceña,Unknown,"Jun 30, 1990 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1559,Jeremy Tapia,https://www.transfermarkt.com/jeremy-tapia/profil/spieler/281788,"Jul 1, 2014",Juv. Escazuceña,Unknown,"Oct 18, 1991 ",28.0,No national team players,-,-,Forward,Costa Rica,Unknown
1560,José Víquez,https://www.transfermarkt.com/jose-viquez/profil/spieler/281790,"Jul 1, 2014",Juv. Escazuceña,Unknown,"Sep 20, 1989 ",30.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1561,Fernando Valverde,https://www.transfermarkt.com/fernando-valverde/profil/spieler/211503,"Jul 1, 2017",Juv. Escazuceña,Unknown,"Aug 6, 1987 ",33.0,No national team players,-,€75Th.,Goalkeeper,Costa Rica,Unknown
1562,Javier Baldi,https://www.transfermarkt.com/javier-baldi/profil/spieler/193848,"Jan 1, 2014",Juv. Escazuceña,Unknown,"May 26, 1989 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1563,Wálter Villalobos,https://www.transfermarkt.com/walter-villalobos/profil/spieler/255815,"Sep 2, 2016",Juv. Escazuceña,Unknown,"Nov 26, 1986 ",33.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1564,César Calderón,https://www.transfermarkt.com/cesar-calderon/profil/spieler/281761,"Aug 1, 2013",Juv. Escazuceña,Unknown,"Oct 30, 1987 ",32.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1565,Jonathan Valerio,https://www.transfermarkt.com/jonathan-valerio/profil/spieler/122587,"Jul 1, 2013",Juv. Escazuceña,Unknown,"Mar 10, 1986 ",34.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1566,Edgar Greaves,https://www.transfermarkt.com/edgar-greaves/profil/spieler/235615,"Sep 2, 2016",Juv. Escazuceña,Unknown,"May 8, 1984 ",36.0,No national team players,-,-,Forward,Costa Rica,Unknown
1567,Érick Araya,https://www.transfermarkt.com/erick-araya/profil/spieler/278147,"Jul 1, 2017",Juv. Escazuceña,Unknown,"May 14, 1982 ",38.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1568,Christian Badilla,https://www.transfermarkt.com/christian-badilla/profil/spieler/35367,"Jul 1, 2017",Juv. Escazuceña,Unknown,"Jul 11, 1978 ",42.0,Costa RicaNo current national team players,15,-,Central Midfield,Costa Rica,Unknown
1569,William Sojo,https://www.transfermarkt.com/william-sojo/profil/spieler/380237,"Jul 2, 2020",Juv. Escazuceña,Unknown,"May 29, 1995 ",25.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1570,Alejandro Corrales,https://www.transfermarkt.com/alejandro-corrales/profil/spieler/281763,"Jul 1, 2014",Juv. Escazuceña,Unknown,,,No national team players,-,-,Defender,Costa Rica,Unknown
1571,Luis González,https://www.transfermarkt.com/luis-gonzalez/profil/spieler/281768,"Jul 1, 2014",Juv. Escazuceña,Unknown,,,No national team players,-,-,Midfielder,Costa Rica,Unknown
1572,Arnald Mejías,https://www.transfermarkt.com/arnald-mejias/profil/spieler/224084,"Jul 1, 2017",Mpl. San Ramón,Unknown,"Aug 5, 1994 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Unknown
1573,Elí Jiménez,https://www.transfermarkt.com/eli-jimenez/profil/spieler/250934,"Jul 1, 2017",Mpl. San Ramón,Unknown,"Nov 2, 1989 ",30.0,No national team players,-,-,Right-Back,Costa Rica,Unknown
1574,Raymon Fernández,https://www.transfermarkt.com/raymon-fernandez/profil/spieler/267467,"Jul 1, 2017",Mpl. San Ramón,Unknown,"Mar 13, 1988 ",32.0,No national team players,-,-,Right-Back,Costa Rica,Unknown
1575,Johnn Sánchez,https://www.transfermarkt.com/johnn-sanchez/profil/spieler/211473,"Jul 1, 2017",Mpl. San Ramón,Unknown,"Dec 15, 1984 ",35.0,No national team players,-,-,Forward,Costa Rica,Unknown
1576,Henry Espinoza,https://www.transfermarkt.com/henry-espinoza/profil/spieler/268268,"Jul 1, 2017",Mpl. San Ramón,Unknown,"Jul 17, 1995 ",25.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1577,Pedro Mora,https://www.transfermarkt.com/pedro-mora/profil/spieler/308558,"Jan 1, 2015",Coto Brus,Unknown,"Mar 16, 1993 ",27.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1578,Jesús Vargas,https://www.transfermarkt.com/jesus-vargas/profil/spieler/195471,"Jan 1, 2016",Coto Brus,Unknown,"Mar 12, 1994 ",26.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1579,Greivin Camacho,https://www.transfermarkt.com/greivin-camacho/profil/spieler/321323,"Jan 1, 2014",Coto Brus,Unknown,"Oct 7, 1980 ",39.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1580,Evance Benwell,https://www.transfermarkt.com/evance-benwell/profil/spieler/258690,"Jul 1, 2011",Coto Brus,Unknown,"Dec 8, 1976 ",43.0,No national team players,-,-,Forward,Costa Rica,Unknown
1581,Luis Pena,https://www.transfermarkt.com/luis-pena/profil/spieler/261211,"Jul 1, 2015",Osa,Unknown,"Jun 20, 1982 ",38.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1582,Bryan Beita,https://www.transfermarkt.com/bryan-beita/profil/spieler/240724,"Jan 1, 2019",Santa Ana,Unknown,"Jan 31, 1993 ",27.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1583,Andrey Ugalde,https://www.transfermarkt.com/andrey-ugalde/profil/spieler/331952,"Jan 1, 2020",Santa Ana,Unknown,"Apr 15, 1994 ",26.0,No national team players,-,-,Central Midfield,Costa Rica,Unknown
1584,Moisés Segura,https://www.transfermarkt.com/moises-segura/profil/spieler/380202,"Jan 1, 2019",Santa Ana,Unknown,"Nov 3, 1989 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1585,Carlos Chaves,https://www.transfermarkt.com/carlos-chaves/profil/spieler/278351,"Jan 1, 2019",Santa Ana,Unknown,"Jul 27, 1991 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1586,Federico Crespo,https://www.transfermarkt.com/federico-crespo/profil/spieler/131249,"Jan 1, 2019",Santa Ana,Unknown,"May 10, 1992 ",28.0,No national team players,-,-,Defender,Costa Rica,Unknown
1587,Aarón Cordero,https://www.transfermarkt.com/aaron-cordero/profil/spieler/358858,"Jul 1, 2017",Santa Ana,Unknown,"Dec 24, 1990 ",29.0,No national team players,-,-,Central Midfield,Costa Rica,Unknown
1588,Bruno Castro,https://www.transfermarkt.com/bruno-castro/profil/spieler/350423,"Jan 1, 2019",Santa Ana,Unknown,"Aug 6, 1990 ",30.0,No national team players,-,-,Attacking Midfield,Costa Rica,Unknown
1589,José Castillo,https://www.transfermarkt.com/jose-castillo/profil/spieler/211471,"Jan 1, 2019",Santa Ana,Unknown,"May 5, 1989 ",31.0,No national team players,-,-,Defensive Midfield,Costa Rica,Unknown
1590,Jheirel Downs,https://www.transfermarkt.com/jheirel-downs/profil/spieler/195369,"Jul 1, 2018",Santa Ana,Unknown,"Jan 28, 1986 ",34.0,No national team players,-,-,Forward,Costa Rica,Unknown
1591,Gustavo Pena,https://www.transfermarkt.com/gustavo-pena/profil/spieler/273199,"Jan 1, 2019",Santa Ana,Unknown,"Jun 25, 1988 ",32.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1592,Éric Sánchez,https://www.transfermarkt.com/eric-sanchez/profil/spieler/193839,"Jan 1, 2019",Santa Ana,Unknown,"Apr 23, 1986 ",34.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1593,Maxie Barthley,https://www.transfermarkt.com/maxie-barthley/profil/spieler/195144,"Jan 1, 2019",Santa Ana,Unknown,"Nov 9, 1987 ",32.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1594,Esteban Sirias,https://www.transfermarkt.com/esteban-sirias/profil/spieler/113869,"Jan 1, 2019",Santa Ana,Unknown,"Oct 3, 1980 ",39.0,Costa RicaNo current national team players,13,-,Left-Back,Costa Rica,Unknown
1595,Andrés Fajardo,https://www.transfermarkt.com/andres-fajardo/profil/spieler/381710,"Jan 1, 2019",Santa Ana,Unknown,"Feb 8, 1997 ",23.0,No national team players,-,-,Defender,Costa Rica,Unknown
1596,Gabriel Núñez,https://www.transfermarkt.com/gabriel-nunez/profil/spieler/477802,"Jan 1, 2019",Santa Ana,Unknown,"May 15, 1998 ",22.0,No national team players,-,-,Goalkeeper,Costa Rica,Unknown
1597,Brayan Fonseca,https://www.transfermarkt.com/brayan-fonseca/profil/spieler/256183,"Jan 1, 2016",Cartagena,Unknown,"Jan 1, 1994 ",26.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1598,Ernesto Gutiérrez,https://www.transfermarkt.com/ernesto-gutierrez/profil/spieler/259651,"Jan 1, 2016",Cartagena,Unknown,"Jan 6, 1983 ",37.0,No national team players,-,-,Forward,Costa Rica,Unknown
1599,Carlos Rodríguez,https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/195537,"Jan 1, 2016",Cartagena,Unknown,"Nov 15, 1978 ",41.0,No national team players,-,-,Right-Back,Costa Rica,Unknown
1600,Sebastián Sánchez,https://www.transfermarkt.com/sebastian-sanchez/profil/spieler/281786,"Feb 1, 2018",AD Santa Rosa,Unknown,"Dec 24, 1988 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1601,Andrey Rosales,https://www.transfermarkt.com/andrey-rosales/profil/spieler/509029,"Jan 1, 2018",Armada U-23,Unknown,"Jul 13, 1994 ",26.0,No national team players,-,-,Midfielder,USA,Unknown
1602,Luis Pena,https://www.transfermarkt.com/luis-pena/profil/spieler/261211,"Jan 1, 2012",Cartagena-Cañas,Unknown,"Jun 20, 1982 ",38.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
