Player;selector1-href;Date;From club;To club;Date of birth;Age;National player;International matches;Market value;Posición
Ricardo Blanco;https://www.transfermarkt.com/ricardo-blanco/profil/spieler/128503;Jul 1, 2018;Cartaginés;Saprissa;May 12, 1989 ;31;Costa RicaNo current national team players;5;275;Right-Back
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jul 1, 2010;LD Alajuelense;Brujas FC;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Dec 31, 2010;Brujas FC;LD Alajuelense;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jan 1, 2011;LD Alajuelense;Alajuelense U20;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jul 1, 2011;Alajuelense U20;Puntarenas FC;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jul 1, 2012;Puntarenas FC;Herediano;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jul 16, 2015;Herediano;Pune City;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Dec 31, 2015;Pune City;Herediano;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jan 10, 2017;Herediano;Chiangmai FC;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Dec 31, 2017;Chiangmai FC;Herediano;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Feb 11, 2019;Herediano;Oriente P.;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Yendrick Ruiz;https://www.transfermarkt.com/yendrick-ruiz/profil/spieler/111904;Jun 30, 2019;Oriente P.;Herediano;Apr 12, 1987 ;33;Costa RicaNo current national team players;7;250;Centre-Forward
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Jul 1, 2006;Herediano U20;Herediano;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Sep 21, 2009;Herediano;Melbourne;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Jun 30, 2010;Melbourne;Herediano;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Jul 1, 2010;Herediano;Melbourne;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Jul 1, 2011;Melbourne;Herediano;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Feb 1, 2013;Herediano;CS Uruguay;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Marvin Angulo;https://www.transfermarkt.com/marvin-angulo/profil/spieler/122678;Jan 1, 2014;CS Uruguay;Saprissa;Sep 30, 1986 ;33;Costa RicaNo current national team players;8;250;Attacking Midfield
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jan 1, 2007;Alajuelense U20;LD Alajuelense;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jul 1, 2010;LD Alajuelense;Brisbane Roar;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jun 30, 2011;Brisbane Roar;LD Alajuelense;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jul 1, 2011;LD Alajuelense;Melbourne;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jun 30, 2012;Melbourne;LD Alajuelense;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jul 1, 2013;LD Alajuelense;Puntarenas FC;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jan 29, 2014;Puntarenas FC;Brisbane Roar;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jul 1, 2016;Brisbane Roar;Rochedale Rovers;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jul 5, 2017;Rochedale Rovers;Liberia;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Jean Carlos Solórzano;https://www.transfermarkt.com/jean-carlos-solorzano/profil/spieler/111934;Jan 1, 2018;Liberia;Lions FC;Jan 8, 1988 ;32;Costa RicaNo current national team players;1;250;Centre-Forward
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jan 1, 2005;Saprissa U17;Saprissa;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jan 1, 2010;Saprissa;AD San Carlos;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jun 30, 2011;AD San Carlos;Saprissa;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jul 1, 2015;Saprissa;Antigua GFC;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jun 30, 2016;Antigua GFC;Saprissa;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jul 1, 2016;Saprissa;Antigua GFC;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jul 1, 2017;Antigua GFC;Comunicaciones;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jul 1, 2018;Comunicaciones;Cartaginés;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Manfred Russell;https://www.transfermarkt.com/manfred-russell/profil/spieler/111794;Jul 1, 2020;Cartaginés;Comunicaciones;Sep 23, 1988 ;31;Costa RicaNo current national team players;5;250;Attacking Midfield
Owen Solís;https://www.transfermarkt.com/owen-solis/profil/spieler/266726;Jan 1, 2010;Santos FC;UCR;May 12, 1987 ;33;No national team players;-;250;Centre-Back
Owen Solís;https://www.transfermarkt.com/owen-solis/profil/spieler/266726;Jan 1, 2014;UCR;Without Club;May 12, 1987 ;33;No national team players;-;250;Centre-Back
Owen Solís;https://www.transfermarkt.com/owen-solis/profil/spieler/266726;Jan 1, 2015;Without Club;Real Pococí;May 12, 1987 ;33;No national team players;-;250;Centre-Back
Owen Solís;https://www.transfermarkt.com/owen-solis/profil/spieler/266726;Jan 1, 2016;Real Pococí;Unknown;May 12, 1987 ;33;No national team players;-;250;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jan 1, 2008;Alajuelense U20;LD Alajuelense;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jan 1, 2010;LD Alajuelense;Unknown;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jul 1, 2010;Unknown;CS Uruguay;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jul 1, 2016;CS Uruguay;Puerto Rico FC;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jan 1, 2018;Puerto Rico FC;AD San Carlos;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Rudy Dawson;https://www.transfermarkt.com/rudy-dawson/profil/spieler/111917;Jul 1, 2020;AD San Carlos;Unknown;May 8, 1988 ;32;No national team players;-;225;Centre-Back
Allen Guevara;https://www.transfermarkt.com/allen-guevara/profil/spieler/121689;Jan 1, 2010;Águilas;Guanacasteca;Apr 16, 1989 ;31;Costa RicaNo current national team players;14;225;Right Midfield
Allen Guevara;https://www.transfermarkt.com/allen-guevara/profil/spieler/121689;Aug 9, 2010;Guanacasteca;LD Alajuelense;Apr 16, 1989 ;31;Costa RicaNo current national team players;14;225;Right Midfield
Allen Guevara;https://www.transfermarkt.com/allen-guevara/profil/spieler/121689;Jul 5, 2020;LD Alajuelense;Cartaginés;Apr 16, 1989 ;31;Costa RicaNo current national team players;14;225;Right Midfield
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jul 1, 2011;Brujas FC;Puntarenas FC;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jul 1, 2012;Puntarenas FC;UCR;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jul 1, 2014;UCR;Cartaginés;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jul 1, 2016;Cartaginés;LD Alajuelense;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jan 1, 2018;LD Alajuelense;Cartaginés;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jameson Scott;https://www.transfermarkt.com/jameson-scott/profil/spieler/215472;Jul 17, 2020;Cartaginés;Barrio México;Nov 21, 1988 ;31;Costa RicaNo current national team players;-;225;Centre-Back
Jesús Camacho;https://www.transfermarkt.com/jesus-camacho/profil/spieler/194495;Jul 1, 2012;Puntarenas FC;Limón FC;Feb 11, 1989 ;31;Costa RicaNo current national team players;-;225;Defensive Midfield
Jesús Camacho;https://www.transfermarkt.com/jesus-camacho/profil/spieler/194495;Jul 1, 2013;Limón FC;Pérez Zeledón;Feb 11, 1989 ;31;Costa RicaNo current national team players;-;225;Defensive Midfield
Jesús Camacho;https://www.transfermarkt.com/jesus-camacho/profil/spieler/194495;Jan 1, 2014;Pérez Zeledón;Limón FC;Feb 11, 1989 ;31;Costa RicaNo current national team players;-;225;Defensive Midfield
Jesús Camacho;https://www.transfermarkt.com/jesus-camacho/profil/spieler/194495;Jan 1, 2015;Limón FC;Santos FC;Feb 11, 1989 ;31;Costa RicaNo current national team players;-;225;Defensive Midfield
Jesús Camacho;https://www.transfermarkt.com/jesus-camacho/profil/spieler/194495;Jul 1, 2017;Santos FC;Unknown;Feb 11, 1989 ;31;Costa RicaNo current national team players;-;225;Defensive Midfield
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Mar 11, 2008;Santos FC;Revolution;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 1, 2008;Revolution;LD Alajuelense;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Dec 31, 2008;LD Alajuelense;Revolution;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 1, 2009;Revolution;LD Alajuelense;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 1, 2012;LD Alajuelense;Without Club;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Oct 8, 2012;Without Club;Real Lemusa;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jan 1, 2013;Real Lemusa;Santos FC;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 1, 2015;Santos FC;Cariari Pococí;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 28, 2015;Cariari Pococí;Cobán Imperial;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jan 1, 2016;Cobán Imperial;Liberia;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jul 1, 2016;Liberia;Unknown;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
Argenis Fernández;https://www.transfermarkt.com/argenis-fernandez/profil/spieler/70856;Jan 1, 2017;Unknown;Cariari Pococí;Apr 3, 1987 ;33;Costa RicaNo current national team players;2;225;Right Winger
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jul 1, 2009;Saprissa II;Saprissa;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Sep 5, 2012;Saprissa;Pérez Zeledón;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jan 2, 2013;Pérez Zeledón;Bangkok Glass;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jul 1, 2014;Bangkok Glass;Without Club;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jan 1, 2015;Without Club;UCR;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jan 1, 2017;UCR;Herediano;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
José Mena;https://www.transfermarkt.com/jose-mena/profil/spieler/128505;Jul 1, 2017;Herediano;Antigua GFC;Feb 2, 1989 ;31;Costa RicaNo current national team players;9;225;Centre-Back
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 1, 2008;Alajuelense U20;LD Alajuelense;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 1, 2011;LD Alajuelense;Real Zaragoza B;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 1, 2012;Real Zaragoza B;Comunicaciones;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 1, 2013;Comunicaciones;Saprissa;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 5, 2016;Saprissa;FBC Melgar;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jul 1, 2016;FBC Melgar;Comunicaciones;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 2, 2018;Comunicaciones;Herediano;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Sep 18, 2018;Herediano;Grecia;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Aug 12, 2019;Grecia;La U;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Diego Estrada;https://www.transfermarkt.com/diego-estrada/profil/spieler/128514;Jan 1, 2020;La U;Cartaginés;May 25, 1989 ;31;Costa RicaNo current national team players;4;200;Attacking Midfield
Kenner Gutiérrez;https://www.transfermarkt.com/kenner-gutierrez/profil/spieler/128520;Jul 1, 2009;Alajuelense U20;LD Alajuelense;Jun 9, 1989 ;31;Costa RicaNo current national team players;9;200;Centre-Back
Kenner Gutiérrez;https://www.transfermarkt.com/kenner-gutierrez/profil/spieler/128520;Jul 3, 2020;LD Alajuelense;Cartaginés;Jun 9, 1989 ;31;Costa RicaNo current national team players;9;200;Centre-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2007;Cádiz CF;Puntarenas FC;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2008;Puntarenas FC;LD Alajuelense;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2009;LD Alajuelense;Chicago Fire;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Nov 1, 2009;Chicago Fire;Philadelphia;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Mar 1, 2010;Philadelphia;Limón FC;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Aug 1, 2011;Limón FC;Fredrikstad;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jan 1, 2012;Fredrikstad;Limón FC;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2012;Limón FC;CS Uruguay;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2013;CS Uruguay;Herediano;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Sep 6, 2016;Herediano;AD San Carlos;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jan 1, 2017;AD San Carlos;Saprissa;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Sep 18, 2017;Saprissa;Pérez Zeledón;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2018;Pérez Zeledón;Unknown;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jul 1, 2019;Unknown;Limón FC;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Dave Myrie;https://www.transfermarkt.com/dave-myrie/profil/spieler/111898;Jan 1, 2020;Limón FC;Unknown;Jun 1, 1988 ;32;Costa RicaNo current national team players;24;200;Right-Back
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2004;Alajuelense U20;LD Alajuelense;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2010;LD Alajuelense;Pérez Zeledón;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2013;Pérez Zeledón;LD Alajuelense;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Feb 2, 2016;LD Alajuelense;Liberia;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Feb 24, 2016;Liberia;LD Alajuelense;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Aug 25, 2016;LD Alajuelense;AD San Carlos;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2017;AD San Carlos;Unknown;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jan 1, 2018;Unknown;Carchá;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2018;Carchá;Malacateco;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 11, 2018;Malacateco;Unknown;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Sep 27, 2019;Unknown;Carchá;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
Ariel Rodríguez;https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902;Jul 1, 2020;Carchá;Deportivo Mixco;Apr 22, 1986 ;34;Costa RicaNo current national team players;15;200;Defensive Midfield
César González;https://www.transfermarkt.com/cesar-gonzalez/profil/spieler/214822;Jan 1, 2012;Grecia;Limón FC;Jun 11, 1986 ;34;No national team players;-;200;Right-Back
César González;https://www.transfermarkt.com/cesar-gonzalez/profil/spieler/214822;Jul 1, 2012;Limón FC;AD Carmelita;Jun 11, 1986 ;34;No national team players;-;200;Right-Back
César González;https://www.transfermarkt.com/cesar-gonzalez/profil/spieler/214822;Jan 1, 2013;AD Carmelita;Unknown;Jun 11, 1986 ;34;No national team players;-;200;Right-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Jul 1, 2011;Barrio México;Santos FC;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Apr 5, 2013;Santos FC;Fredrikstad;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Jul 1, 2013;Fredrikstad;Saprissa;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Jan 28, 2014;Saprissa;Cartaginés;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Jul 1, 2016;Cartaginés;Liberia;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Juan Diego Madrigal;https://www.transfermarkt.com/juan-diego-madrigal/profil/spieler/195380;Jan 1, 2017;Liberia;Santos FC;May 21, 1987 ;33;Costa RicaNo current national team players;7;200;Centre-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jul 1, 2008;Brujas FC;Leixões;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jun 30, 2009;Leixões;Brujas FC;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jul 1, 2009;Brujas FC;Barrio México;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jul 1, 2010;Barrio México;Brujas FC;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jan 1, 2011;Brujas FC;Unknown;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jul 1, 2012;Unknown;UCR;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jan 11, 2014;UCR;AD Carmelita;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
Brandón Poltronieri;https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959;Jul 1, 2014;AD Carmelita;Silverbacks;Jan 18, 1986 ;34;No national team players;-;200;Left-Back
